t,x,y,z,mode
8.7,-0.136431,-1.178051,0.740365,GPS
8.8,-0.141217,-1.129715,0.742416,GPS
8.9,-0.159744,-1.125085,0.756908,GPS
8.9,-0.142086,-1.129626,0.817194,FLOW
8.92,-0.142488,-1.127218,0.80495,FLOW
8.94,-0.144824,-1.14066,0.801072,FLOW
8.96,-0.143012,-1.139145,0.79604,FLOW
8.98,-0.143413,-1.138681,0.796211,FLOW
9.0,-0.1452,-1.143028,0.797402,FLOW
9.02,-0.341455,-1.155128,0.791067,FLOW
9.04,-0.343506,-1.159609,0.784357,FLOW
9.06,-0.343651,-1.159754,0.796807,FLOW
9.08,-0.343999,-1.160731,0.787227,FLOW
9.1,-0.276637,-1.244365,0.776402,FLOW
9.12,-0.276892,-1.241311,0.777206,FLOW
9.14,-0.277698,-1.240862,0.78334,FLOW
9.16,-0.276813,-1.238753,0.775971,FLOW
9.18,-0.293844,-1.240338,0.769753,FLOW
9.2,-0.294096,-1.23918,0.76946,FLOW
9.22,-0.294027,-1.24258,0.769468,FLOW
9.24,-0.294453,-1.236119,0.753784,FLOW
9.26,-0.29339,-1.23434,0.759723,FLOW
9.28,-0.29304,-1.234158,0.752189,FLOW
9.3,-0.292963,-1.230047,0.759431,FLOW
9.32,-0.286935,-1.23357,0.750059,FLOW
9.34,-0.28811,-1.231345,0.745753,FLOW
9.36,-0.287378,-1.23127,0.750065,FLOW
9.38,-0.286584,-1.231922,0.731209,FLOW
9.4,-0.284245,-1.230802,0.743677,FLOW
9.42,-0.285337,-1.232408,0.733611,FLOW
9.44,-0.285108,-1.232939,0.732325,FLOW
9.46,-0.286424,-1.236518,0.726211,FLOW
9.48,-0.397239,-1.47514,0.730279,FLOW
9.5,-0.397063,-1.477008,0.725573,FLOW
9.52,-0.397635,-1.476769,0.728616,FLOW
9.54,-0.395718,-1.4774,0.709934,FLOW
9.56,-0.393545,-1.453194,0.717419,FLOW
9.58,-0.395261,-1.45158,0.716771,FLOW
9.6,-0.395696,-1.451719,0.712237,FLOW
9.62,-0.395858,-1.450209,0.709825,FLOW
9.64,-0.698361,-1.491214,0.712066,FLOW
9.66,-0.697986,-1.489622,0.700142,FLOW
9.68,-0.697898,-1.487454,0.708984,FLOW
9.7,-0.696534,-1.48585,0.706324,FLOW
9.72,-0.695636,-1.481555,0.696603,FLOW
9.74,-0.695593,-1.4798,0.701465,FLOW
9.76,-0.694878,-1.474265,0.702117,FLOW
9.78,-0.702215,-1.471472,0.691705,FLOW
9.8,-0.700451,-1.4727,0.683122,FLOW
9.82,-0.700752,-1.472589,0.682918,FLOW
9.84,-0.702103,-1.47585,0.687664,FLOW
9.86,-0.701069,-1.461668,0.678146,FLOW
9.88,-0.70256,-1.464889,0.67422,FLOW
9.9,-0.702324,-1.464932,0.680135,FLOW
9.92,-0.700967,-1.46258,0.681609,FLOW
9.94,-0.697335,-1.453756,0.665017,FLOW
9.96,-0.698454,-1.450967,0.678095,FLOW
9.98,-0.698768,-1.450492,0.672952,FLOW
10.0,-0.69731,-1.450176,0.672035,FLOW
10.02,-0.696306,-1.440495,0.657004,FLOW
10.04,-0.698155,-1.439327,0.659974,FLOW
10.06,-0.699004,-1.438108,0.660883,FLOW
10.08,-0.697343,-1.433329,0.659523,FLOW
10.1,-0.323014,-1.247009,0.811863,GPS
10.1,-0.699609,-1.432994,0.649652,FLOW
10.2,-0.333448,-1.259669,0.764311,GPS
10.3,-0.341527,-1.328316,0.723902,GPS
10.4,-0.342951,-1.332833,0.765639,GPS
10.5,-0.373164,-1.455453,0.773621,GPS
10.6,-0.388129,-1.563197,0.764814,GPS
10.7,-0.387463,-1.598354,0.700799,GPS
10.8,-0.367076,-1.569059,0.636965,GPS
10.9,-0.357206,-1.508779,0.581293,GPS
11.0,-0.301923,-1.43814,0.47366,GPS
11.1,-0.25344,-1.431586,0.328127,GPS
11.2,-0.210017,-1.422858,0.224689,GPS
11.3,-0.170904,-1.414376,0.177355,GPS
11.4,-0.170614,-1.40985,0.179124,GPS
11.5,-0.142552,-1.396468,0.116381,GPS
11.6,-0.123794,-1.440411,0.107004,GPS
11.7,-0.131571,-1.479364,0.018397,GPS
11.8,-0.140282,-1.47679,-0.010916,GPS
11.9,-0.169076,-1.51057,-0.111908,GPS
