t,x,y,z,mode
5.21,-0.401836,-1.671358,-1.095923,IMU
5.22,-0.401603,-1.671808,-1.094399,IMU
5.23,-0.401388,-1.672233,-1.092913,IMU
5.24,-0.401188,-1.672646,-1.091446,IMU
5.25,-0.401006,-1.673078,-1.089969,IMU
5.26,-0.400837,-1.673524,-1.088458,IMU
5.27,-0.400689,-1.673958,-1.086928,IMU
5.28,-0.400566,-1.674382,-1.085392,IMU
5.29,-0.400437,-1.674815,-1.083828,IMU
5.3,-0.400285,-1.675257,-1.082249,IMU
5.31,-0.40012,-1.675706,-1.080667,IMU
5.32,-0.39996,-1.676167,-1.07908,IMU
5.33,-0.399811,-1.676639,-1.077477,IMU
5.34,-0.399678,-1.677105,-1.075851,IMU
5.35,-0.399569,-1.677555,-1.074195,IMU
5.36,-0.399472,-1.678003,-1.0725,IMU
5.37,-0.39937,-1.678464,-1.070791,IMU
5.38,-0.399265,-1.678929,-1.069096,IMU
5.39,-0.399169,-1.679407,-1.06741,IMU
5.4,-0.399075,-1.679886,-1.065703,IMU
5.41,-0.398977,-1.680347,-1.063974,IMU
5.42,-0.398867,-1.680805,-1.06222,IMU
5.43,-0.398729,-1.681266,-1.060466,IMU
5.44,-0.398563,-1.68173,-1.058729,IMU
5.45,-0.398395,-1.682186,-1.056988,IMU
5.46,-0.398241,-1.682643,-1.05522,IMU
5.47,-0.398091,-1.683107,-1.053414,IMU
5.48,-0.397935,-1.683555,-1.051607,IMU
5.49,-0.397773,-1.684,-1.049814,IMU
5.5,-0.397609,-1.68444,-1.048004,IMU
5.51,-0.397442,-1.684864,-1.046163,IMU
5.52,-0.397247,-1.685292,-1.044313,IMU
5.53,-0.397018,-1.685718,-1.042465,IMU
5.54,-0.396803,-1.686131,-1.040621,IMU
5.55,-0.396615,-1.686545,-1.038788,IMU
5.56,-0.396441,-1.686958,-1.036971,IMU
5.57,-0.396279,-1.687366,-1.035161,IMU
5.58,-0.396126,-1.687759,-1.033345,IMU
5.59,-0.39597,-1.688137,-1.03153,IMU
5.6,-0.395803,-1.688522,-1.02972,IMU
5.61,-0.395647,-1.688915,-1.027908,IMU
5.62,-0.395507,-1.689317,-1.026082,IMU
5.63,-0.395374,-1.689731,-1.024251,IMU
5.64,-0.395232,-1.690147,-1.022412,IMU
5.65,-0.395069,-1.690558,-1.020547,IMU
5.66,-0.394899,-1.690969,-1.018675,IMU
5.67,-0.394728,-1.69139,-1.01681,IMU
5.68,-0.394547,-1.691818,-1.014944,IMU
5.69,-0.394345,-1.692253,-1.013055,IMU
5.7,-0.39413,-1.692707,-1.011138,IMU
5.71,-0.393917,-1.69317,-1.009221,IMU
5.72,-0.39371,-1.693647,-1.0073,IMU
5.73,-0.393516,-1.694148,-1.005367,IMU
5.74,-0.393334,-1.694652,-1.003436,IMU
5.75,-0.393172,-1.695154,-1.001508,IMU
5.76,-0.393039,-1.695666,-0.999584,IMU
5.77,-0.392923,-1.696184,-0.997682,IMU
5.78,-0.392791,-1.696701,-0.995786,IMU
5.79,-0.392652,-1.697225,-0.993892,IMU
5.8,-0.39253,-1.697752,-0.992004,IMU
5.81,-0.392422,-1.698267,-0.990133,IMU
5.82,-0.392325,-1.698781,-0.988302,IMU
5.83,-0.392232,-1.699301,-0.986495,IMU
5.84,-0.392136,-1.699836,-0.984691,IMU
5.85,-0.392044,-1.700386,-0.982887,IMU
5.86,-0.391944,-1.700925,-0.981086,IMU
5.87,-0.391816,-1.701438,-0.979283,IMU
5.88,-0.391669,-1.701928,-0.977474,IMU
5.89,-0.39152,-1.702409,-0.975656,IMU
5.9,-0.391394,-1.702887,-0.973846,IMU
5.91,-0.391282,-1.703368,-0.972021,IMU
5.92,-0.39116,-1.703863,-0.97016,IMU
5.93,-0.391033,-1.70437,-0.968285,IMU
5.94,-0.390906,-1.70489,-0.96641,IMU
5.95,-0.390773,-1.705424,-0.96452,IMU
5.96,-0.390632,-1.705962,-0.962607,IMU
5.97,-0.39049,-1.706498,-0.960679,IMU
5.98,-0.390355,-1.707032,-0.958732,IMU
5.99,-0.390226,-1.707584,-0.956762,IMU
6.0,-0.390094,-1.708148,-0.954771,IMU
6.01,-0.389956,-1.708674,-0.952763,IMU
6.02,-0.389833,-1.709183,-0.950746,IMU
6.03,-0.389722,-1.709698,-0.948735,IMU
6.04,-0.389621,-1.7102,-0.946744,IMU
6.05,-0.389545,-1.710683,-0.944761,IMU
6.06,-0.389485,-1.711146,-0.942763,IMU
6.07,-0.389441,-1.711613,-0.940761,IMU
6.08,-0.389394,-1.712098,-0.938764,IMU
6.09,-0.389332,-1.712571,-0.936764,IMU
6.1,-0.38926,-1.71305,-0.934772,IMU
6.11,-0.389175,-1.713548,-0.9328,IMU
6.12,-0.389088,-1.714033,-0.930841,IMU
6.13,-0.388998,-1.714515,-0.928896,IMU
6.14,-0.388901,-1.714983,-0.926971,IMU
6.15,-0.388806,-1.715439,-0.92505,IMU
6.16,-0.388725,-1.715896,-0.9231,IMU
6.17,-0.388652,-1.716357,-0.921134,IMU
6.18,-0.388578,-1.716823,-0.919169,IMU
6.19,-0.388519,-1.717295,-0.917207,IMU
6.2,-0.388469,-1.717775,-0.91525,IMU
6.21,-0.388421,-1.718263,-0.913289,IMU
6.22,-0.388367,-1.71877,-0.911325,IMU
6.23,-0.388294,-1.719295,-0.909369,IMU
6.24,-0.38821,-1.719823,-0.907425,IMU
6.25,-0.388132,-1.720356,-0.905491,IMU
6.26,-0.388077,-1.720902,-0.903567,IMU
6.27,-0.388049,-1.721466,-0.901669,IMU
6.28,-0.388031,-1.722041,-0.899816,IMU
6.29,-0.388008,-1.722632,-0.897983,IMU
6.3,-0.387984,-1.723227,-0.896161,IMU
6.31,-0.387972,-1.72381,-0.894338,IMU
6.32,-0.38797,-1.724388,-0.892501,IMU
6.33,-0.387975,-1.724975,-0.890646,IMU
6.34,-0.387974,-1.725565,-0.888778,IMU
6.35,-0.387965,-1.726154,-0.886915,IMU
6.36,-0.387951,-1.726744,-0.885046,IMU
6.37,-0.387937,-1.727334,-0.88318,IMU
6.38,-0.387935,-1.727928,-0.881349,IMU
6.39,-0.387947,-1.72854,-0.879531,IMU
6.4,-0.387968,-1.729184,-0.877701,IMU
6.41,-0.387984,-1.729835,-0.875886,IMU
6.42,-0.387992,-1.730472,-0.874115,IMU
6.43,-0.387997,-1.731102,-0.872377,IMU
