Timestamp QTM,x,y,z,vx,vy,vz,Yaw,ref x,ref y,ref z,ref vx,ref vy,ref vz,Thrust controller,Roll controller,Pitch controller,Roll drone,Pitch drone,Yaw drone,Thrust drone,Comp time,Timestamp Crazyflie,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
773970000,0.3291998291015625,0.01415679931640625,0.21856173706054688,-0.15730285644531827,0.12471256256103525,0.011209106445310424,0,0.4,0.048,0.7,0,0,0,1.9022735138112787,0.007975466417720917,0.00878081801427977,0.4569605653837302,0.503103812890675,0.0,49336,0.03125,154145,-0.15761013329029083,0.07871686667203903,-1.2110379934310913,
774110000,0.3053793640136719,0.030071298599243165,0.22172186279296874,-0.18054046630858744,0.1097013473510747,0.028488159179684835,0,0.4,0.08,0.7,0,0,0,1.8968535183498514,0.010801768448529595,0.012518719316693001,0.618895743378321,0.7172697817554068,0.0,49243,0.03125,154275,-0.1005791649222374,-0.4224735200405121,-0.715478777885437,
774250000,0.2799907531738281,0.0434012336730957,0.227204345703125,-0.18449401855469283,0.07424831390380852,0.03683776855468862,0,0.4,0.08,0.7,0,0,0,1.8800168103528059,0.00891737896496159,0.015082291202085077,0.5109281790110375,0.864151631266768,0.0,48956,0.03125,154425,0.3199388086795807,-0.791783332824707,-0.5155090689659119,
774390000,0.2537411346435547,0.05306184387207031,0.23408682250976562,-0.18974227905272922,0.05854911804199121,0.04211502075195245,0,0.374,0.08,0.7,0,0,0,1.883465615853244,0.0059834074127905704,0.016477354910221342,0.3428239918601909,0.9440828938948463,0.0,49015,0.03125,154555,0.4589884579181671,-0.6697264909744263,-0.570442795753479,
774530000,0.227309326171875,0.05873282241821289,0.24201539611816406,-0.18730392456054873,0.028078651428222606,0.07534637451171583,0,0.348,0.08,0.7,0,0,0,1.8687067189976412,-0.00044389033998377947,0.019987274587027738,-0.025433043047697782,1.145186477805775,0.0,48763,0.03125,154705,-0.1966472715139389,-1.1776362657546997,-0.9014596343040466,
774670000,0.20092860412597657,0.06189350509643555,0.25057164001464843,-0.16302032470702915,0.01632633209228615,0.053649902343745615,0,0.323,0.08,0.7,0,0,0,1.8665768898048716,-0.003936211777745442,0.015199106125316482,-0.22552832213450066,0.8708446333520722,0.0,48726,0.03125,154835,-0.3986886739730835,-1.2359250783920288,-1.0167241096496582,
774810000,0.17955906677246095,0.06284369277954102,0.2580971984863281,-0.16407470703125038,0.007043457031250672,0.061035156250002776,0,0.297,0.08,0.7,0,0,0,1.8663864818015048,-0.0035337619584638936,0.008584176540884794,-0.20246964602386522,0.49183708638790885,0.0,48723,0.046875,154985,-0.3111676573753357,-0.6899744868278503,-0.8126750588417053,
774950000,0.1567101593017578,0.06249220657348633,0.26576153564453125,-0.15683670043945414,-0.005341720581053186,0.03925628662110048,0,0.271,0.08,0.7,0,0,0,1.8623143315918964,-0.006758536668384325,0.01026861497727658,-0.38723562678283024,0.5883482996427738,0.0,48654,0.03125,155115,-0.17641101777553558,-0.2979455888271332,-0.8181385397911072,
775090000,0.1329685516357422,0.06080304718017578,0.27230157470703126,-0.17043914794921677,-0.007137870788574349,0.04321441650390889,0,0.245,0.08,0.7,0,0,0,1.8644777704533744,-0.007484424400181673,0.00936575451495959,-0.4288259302151426,0.5366182056627798,0.0,48690,0.03125,155265,-0.18518075346946716,-0.4343140721321106,-0.6910058259963989,
775230000,0.10814468383789062,0.057714595794677734,0.2769915771484375,-0.19061584472656323,-0.022383880615233984,0.024490356445303063,0,0.219,0.08,0.7,0,0,0,1.8664439429909383,-0.012107151712883037,0.014228032818046908,-0.6936886950727835,0.815206231247715,0.0,48724,0.03125,155395,-0.0886191800236702,-0.37143588066101074,-0.3883664309978485,
775350000,0.0823686294555664,0.05359506988525391,0.2800446472167969,-0.16581573486328244,-0.03040904998779341,0.015034484863279962,0,0.194,0.08,0.7,0,0,0,1.866101944419964,-0.013753688225475751,0.013541312130657642,-0.7880282880585351,0.7758600341559873,0.0,48718,0.046875,155545,-0.4938666820526123,-0.558521032333374,-0.14681199193000793,
775510000,0.05643196868896484,0.049377460479736325,0.2818896484375,-0.180739212036133,-0.03215694427490222,0.007728576660151476,0,0.168,0.08,0.7,0,0,0,1.876592867896773,-0.014419959233793089,0.009228332865962228,-0.8262028048470443,0.5287445251615028,0.0,48897,0.03125,155685,-0.42151889204978943,-0.6918779611587524,0.03899974748492241,
775640000,0.03272855377197265,0.04486570739746094,0.2821713562011719,-0.1889869689941405,-0.04369354248046943,0.002055358886721148,0,0.142,0.08,0.7,0,0,0,1.8736945272820686,-0.016528685204528916,0.013048888962522358,-0.9470239031198348,0.7476462648873745,0.0,48848,0.0625,155815,-0.17180003225803375,-0.7205838561058044,0.19770564138889313,
