t,ax,ay,az,wx,wy,wz
65.029042,-0.232562,-0.264338,9.787780,0.001105,0.002024,0.000015
65.038903,-0.237148,-0.265332,9.786663,0.001462,0.002408,-0.001850
65.048797,-0.242735,-0.261014,9.795361,0.003315,0.002804,-0.000269
65.058676,-0.242191,-0.251348,9.789811,0.000436,0.000785,0.002948
65.068588,-0.233579,-0.257703,9.804595,-0.001024,0.000595,-0.001614
65.078448,-0.232146,-0.236835,9.805334,0.001666,-0.000781,0.001363
65.088342,-0.242450,-0.260431,9.804813,-0.002672,0.002551,-0.000243
65.098230,-0.260087,-0.260754,9.790454,0.001804,-0.002461,0.000309
65.108126,-0.253062,-0.268092,9.789566,0.002565,0.001418,-0.001413
65.117993,-0.250002,-0.258767,9.801401,-0.000808,0.005857,0.000379
65.127888,-0.266689,-0.257008,9.784628,0.004755,-0.003745,-0.000239
65.137766,-0.251361,-0.258579,9.778897,-0.000382,-0.001964,-0.005960
65.147672,-0.248582,-0.238750,9.789764,0.000763,0.003703,0.002794
65.157538,-0.238550,-0.257819,9.795551,-0.000739,-0.005334,-0.001724
65.167433,-0.229857,-0.258589,9.786899,0.000522,-0.000626,-0.000288
65.177316,-0.247057,-0.257663,9.769999,-0.000726,-0.003948,0.002004
65.187221,-0.244396,-0.259315,9.790191,0.000286,0.002718,-0.000413
65.197086,-0.240268,-0.262547,9.788013,0.000560,0.003747,0.001112
65.206979,-0.248533,-0.254234,9.802720,0.003060,-0.000845,-0.002351
65.216859,-0.258687,-0.262437,9.802472,0.001426,0.000741,-0.004216
65.226763,-0.249835,-0.232701,9.806571,-0.000748,0.001125,-0.001997
65.236640,-0.235774,-0.251781,9.784981,0.002451,-0.006653,0.002832
65.246526,-0.233628,-0.253964,9.785602,-0.000157,-0.000525,-0.000294
65.256405,-0.218497,-0.263342,9.788140,0.000320,-0.000149,0.001525
65.266309,-0.225967,-0.259554,9.795058,-0.000777,-0.000443,-0.000629
65.276176,-0.253371,-0.268384,9.797442,0.002138,0.001051,-0.002165
65.286071,-0.258729,-0.263810,9.778844,-0.003041,0.000186,-0.001037
65.295953,-0.242213,-0.258071,9.776946,0.000187,0.002400,0.001106
65.305859,-0.236647,-0.250074,9.785402,-0.001009,-0.000245,-0.000925
65.315723,-0.247919,-0.256663,9.779539,0.001233,-0.002804,-0.000439
65.325617,-0.252232,-0.267565,9.790815,0.001840,0.001240,-0.000165
65.335497,-0.236338,-0.251036,9.792517,-0.002946,-0.001309,-0.002611
65.345401,-0.229035,-0.253735,9.792205,0.001138,0.005057,-0.000284
65.355269,-0.245430,-0.249279,9.792719,0.000939,0.003153,-0.002262
65.365175,-0.228676,-0.255536,9.786680,0.001440,0.000201,-0.002392
65.375042,-0.236675,-0.268828,9.795037,-0.003496,0.002763,-0.000235
65.384949,-0.238999,-0.246524,9.787963,0.000793,-0.001927,0.001852
65.394815,-0.236561,-0.260671,9.794984,0.000166,0.004069,0.001506
65.404711,-0.247205,-0.261718,9.788644,0.002007,-0.002071,0.000259
65.414596,-0.226647,-0.255288,9.783768,0.000690,-0.002032,0.003981
65.424494,-0.226043,-0.256565,9.767457,-0.004062,0.006642,-0.003247
65.434363,-0.246701,-0.265817,9.767566,-0.000838,-0.000755,-0.002701
65.444262,-0.248785,-0.265038,9.775978,-0.001557,-0.002383,-0.000534
65.454140,-0.257365,-0.255359,9.778484,0.004565,-0.001453,0.002139
65.464041,-0.246470,-0.251833,9.779948,0.003264,-0.003038,-0.000282
65.473908,-0.232212,-0.253833,9.808121,0.001262,-0.001478,-0.002604
65.483808,-0.243641,-0.251587,9.801282,0.002283,0.004143,0.001729
65.493686,-0.258927,-0.244248,9.823103,-0.004548,-0.000789,-0.000776
65.503585,-0.257946,-0.249764,9.805684,-0.000923,0.000717,-0.001559
65.513456,-0.236125,-0.243205,9.788700,0.002149,-0.000228,0.000046
65.523349,-0.255904,-0.250020,9.773893,0.000923,-0.003875,0.000250
65.533232,-0.234093,-0.246453,9.799932,0.000001,0.000122,0.001014
65.543132,-0.237346,-0.252662,9.795358,-0.004501,-0.004646,0.003270
65.553000,-0.233574,-0.271992,9.807508,0.002384,-0.002483,-0.000043
65.562895,-0.239736,-0.259823,9.805270,-0.003049,0.002155,-0.000927
65.572779,-0.252959,-0.282971,9.785551,-0.002005,-0.003207,-0.000771
65.582677,-0.247138,-0.261141,9.815261,-0.000999,-0.001023,0.003086
65.592555,-0.242003,-0.247716,9.797209,0.001784,-0.001538,-0.001535
65.602440,-0.250188,-0.247514,9.795749,0.002159,-0.005318,-0.000346
65.612320,-0.257151,-0.246700,9.770295,0.001401,-0.000004,0.002189
65.622222,-0.248686,-0.256903,9.795408,0.000108,0.003266,0.000126
65.632093,-0.229831,-0.257629,9.785945,-0.001697,-0.001198,-0.000746
65.641986,-0.243640,-0.267203,9.789102,-0.000657,-0.000904,0.001897
65.651868,-0.231652,-0.280002,9.795630,0.000017,-0.002248,0.000302
65.661768,-0.242000,-0.267110,9.774734,0.000933,0.003156,0.000199
65.671638,-0.235233,-0.279085,9.783878,-0.000350,-0.002046,-0.002423
65.681530,-0.262470,-0.254218,9.777669,-0.000396,0.003377,-0.004252
65.691411,-0.254916,-0.245116,9.790261,0.000262,0.001031,-0.000333
65.701323,-0.234646,-0.242941,9.793977,0.001796,0.000631,0.001320
65.711181,-0.262917,-0.258364,9.799172,-0.000617,0.002051,-0.002697
65.721076,-0.265472,-0.260554,9.784630,0.003237,-0.003195,0.001615
65.730959,-0.235390,-0.267272,9.773710,0.001650,-0.001692,-0.001384
65.740861,-0.242125,-0.277622,9.782493,0.000947,0.000258,-0.006351
65.750729,-0.260776,-0.265492,9.801044,0.001111,-0.003349,0.002359
65.760629,-0.243943,-0.253880,9.801195,0.000344,0.001774,0.003438
65.770500,-0.235788,-0.247237,9.785929,0.001407,-0.000597,-0.001051
65.780404,-0.240619,-0.246278,9.768590,0.003905,-0.000282,0.000652
65.790273,-0.241682,-0.256016,9.777865,0.002581,-0.004209,0.001489
65.800167,-0.260184,-0.244410,9.798733,-0.001872,0.003310,-0.002386
65.810047,-0.258613,-0.248913,9.787431,0.001232,-0.001966,-0.000003
65.819952,-0.247528,-0.258209,9.771512,-0.003029,-0.000506,0.007732
65.829819,-0.250296,-0.250721,9.772790,0.003591,0.002739,-0.000706
65.839723,-0.244781,-0.261881,9.782541,0.001314,0.002493,-0.001553
65.849591,-0.228278,-0.254107,9.793117,-0.000905,0.001212,0.001287
65.859498,-0.247880,-0.251428,9.769825,-0.000647,0.004875,0.003081
65.869368,-0.252693,-0.241515,9.783044,-0.002367,0.003340,-0.005957
65.879262,-0.239222,-0.257200,9.789053,0.001313,0.000620,0.001068
65.889139,-0.231436,-0.269428,9.801008,-0.000653,0.001099,0.001151
65.899042,-0.247462,-0.265093,9.803881,0.000668,-0.001515,0.000360
65.908910,-0.247100,-0.247170,9.790243,0.002921,-0.003544,0.001082
65.918810,-0.243241,-0.254578,9.798894,0.000383,0.001233,-0.001393
65.928683,-0.243730,-0.248868,9.801764,-0.000813,-0.000434,-0.003391
65.938588,-0.262102,-0.256347,9.785834,0.000544,0.002670,-0.000537
65.948456,-0.247684,-0.246883,9.780258,0.004267,-0.005790,-0.000514
65.958353,-0.249125,-0.238100,9.775481,-0.001208,0.006269,0.004223
65.968230,-0.244551,-0.265986,9.783262,-0.000463,0.001942,0.002081
65.978138,-0.238698,-0.240386,9.789377,0.003975,-0.001956,-0.002487
65.988002,-0.246967,-0.241690,9.796751,-0.001482,0.001360,-0.002169
65.997897,-0.252548,-0.263674,9.784730,0.001539,-0.003896,-0.001588
66.007784,-0.227666,-0.247233,9.775768,-0.002380,-0.000028,0.002637
66.017681,-0.250198,-0.254790,9.776078,-0.001107,-0.001785,-0.002812
