t,x,y,z,qx,qy,qz,qw,vx,vy,vz
341.24,0.3266556305304139,0.9904215583966167,1.0115012175593656,2.292773082767268e-05,-0.11175598135630355,0.03448338569482584,0.9931371990900505,-0.07351976971626117,0.0011355774587480409,-0.03723819418079018
341.26,0.3253716215970111,0.9903236175823534,1.010766637946679,-0.0008239504201757922,-0.11546393739787772,0.03439340486133088,0.9927157165917787,-0.07020208013958293,-0.0016543029950224781,-0.016107255569009504
341.28,0.32392653026757545,0.9901780896054019,1.0103409399682945,-0.00315994647594584,-0.11757976061204228,0.03422120901109924,0.9924686007559648,-0.07889041489360245,-0.0009953478938632243,-0.0006577814026576673
341.3,0.3223038308223539,0.9901066693668266,1.010139412129205,-0.0038133231132934974,-0.1176209288855418,0.03396257718271972,0.9924703113977988,-0.08068138912090582,0.0024840395792169886,0.012381190109223821
341.32,0.3206702375987005,0.9900381283256802,1.0101689387483428,-0.004961080409663658,-0.11967483458479918,0.033897540073663406,0.9922218897127921,-0.07934008021201602,0.0017550782209945523,0.023304995897703053
341.34,0.3188683812604262,0.989993489071736,1.0103220038141443,-0.005767822712891537,-0.11894883104252636,0.03375723246198831,0.9923096074669823,-0.08793946145791258,0.004408409103034828,0.030267140794471813
341.36,0.31700005173924073,0.9899784367102261,1.0105784124707382,-0.006183005842844066,-0.11784977882055454,0.033635509994620165,0.9924423673635138,-0.08672293514978788,0.005107736603291257,0.035622239496031154
341.38,0.315027918556637,0.9900196448837596,1.0108139017025086,-0.005297860520115187,-0.11434619395998841,0.03357533656502514,0.992859293845467,-0.09430178646729295,0.008773240569513053,0.03380042350293046
341.4,0.31315081778351195,0.9900281106673374,1.011070910284537,-0.005564872835661625,-0.11332437705736101,0.033464914177569714,0.9929787093759724,-0.08574890093076745,0.005401288734664967,0.03373925180064453
341.42,0.31138414195161085,0.9900141291608952,1.0113893948628547,-0.0066199070229710595,-0.11500789450920043,0.03342857686595254,0.9927798805779078,-0.08248603503452714,0.005070416299624336,0.03648441658189679
341.44,0.30952492086605593,0.9900439483228706,1.0117456009514185,-0.006560898130454552,-0.1142646829464452,0.03332928836340571,0.9928694251431348,-0.08705764294157249,0.007614919039396861,0.03912971865977184
341.46,0.3076738929002008,0.9900724347864239,1.0121478424246704,-0.006738360053562091,-0.11396251076450017,0.03323757566808243,0.9929060399694164,-0.08429686519295423,0.00663326152324562,0.040940756041996686
341.48,0.30583523006307656,0.9901092699450308,1.0125584575356226,-0.006816556084100543,-0.11398465209165622,0.03323094745257147,0.9929031865101958,-0.08543830037406476,0.007900662515098635,0.04064281588879924
341.5,0.3039799223405753,0.9901562931434599,1.0129545256169445,-0.006689561619566487,-0.11349342300950682,0.03316050721319611,0.9929626747568545,-0.08508318281823185,0.007632289688958548,0.04020509535416981
341.52,0.30211848499863675,0.9902074806296346,1.0133201953210633,-0.00647460000192069,-0.11262284476231096,0.03314178788197865,0.9930638430073091,-0.08710524491063569,0.008574508835180485,0.03819336679005644
341.54,0.3002982806183615,0.9902498727902398,1.0136827604115848,-0.006537030340411184,-0.11265921036431768,0.03307138216783698,0.9930616563113923,-0.08297936593447351,0.007158328727129628,0.038062093891082956
341.56,0.2985123104078837,0.9902867753092578,1.01405754788499,-0.006784046291212699,-0.11344917626953996,0.033178216205205606,0.9929664984726938,-0.08328437742199282,0.007558384364815244,0.03845017797109497
341.58,0.29647906448634676,0.9904208329475095,1.014250150505165,-0.004081981191462564,-0.1069229315633225,0.03319494531692843,0.9937046441175887,-0.09858946083453456,0.014137842225078209,0.029084978968493425
341.6,0.29470693059314246,0.9905141051209825,1.0142745383466512,-0.0024836562622724758,-0.10615450324203306,0.03327628750418117,0.993789586171513,-0.08019255428769001,0.00822885186457235,0.01693026915054708
