t,x,y,z,qx,qy,qz,qw
640.5,-7.949417713810366e-07,-3.1793320914301996e-08,0.6082315006150752,-1.5048066116868856e-17,4.767265768451817e-18,-1.7220307345046452e-06,0.9999999999985173
640.52,-7.94941771381458e-07,-3.1793320914124986e-08,0.61076924440678,-1.4976940721404686e-17,1.7020560088293902e-17,-1.722030734574402e-06,0.9999999999985173
640.54,-7.949417713808154e-07,-3.17933209136272e-08,0.6133506418272306,-7.693874229370484e-18,2.889256940546592e-18,-1.7220307346403223e-06,0.9999999999985173
640.56,-7.94941771381538e-07,-3.1793320913179896e-08,0.6159515569534294,-1.3143366936967467e-18,2.636290388200981e-17,-1.7220307347129998e-06,0.9999999999985173
640.58,-7.949417713810108e-07,-3.1793320912894174e-08,0.6185130180257038,2.6259432380906575e-18,1.8038549135380907e-17,-1.7220307347810079e-06,0.9999999999985173
640.6,-7.949417713800168e-07,-3.1793320912693944e-08,0.6210688568946512,6.0752520767724354e-18,-6.492870174569392e-19,-1.7220307348468111e-06,0.9999999999985173
640.62,-7.949417713799178e-07,-3.179332091274545e-08,0.6235607975120222,4.633630208733002e-18,2.4877484990939463e-18,-1.7220307349163085e-06,0.9999999999985173
640.64,-7.949417713795891e-07,-3.179332091294861e-08,0.6260820477549588,1.9742671128356819e-19,-2.6282411130023306e-18,-1.7220307349828315e-06,0.9999999999985173
640.66,-7.949417713793853e-07,-3.1793320912765445e-08,0.6286656153116397,6.153054282895476e-18,-6.394262166339509e-18,-1.7220307350508497e-06,0.9999999999985173
640.68,-7.94941771379466e-07,-3.179332091274402e-08,0.6313134159505293,8.370176641235007e-18,-4.540659537222949e-18,-1.7220307351199263e-06,0.9999999999985173
640.7,-7.949417713792575e-07,-3.1793320912811225e-08,0.6339893107447984,9.350804583350961e-18,-1.1518298686998949e-17,-1.7220307351864366e-06,0.9999999999985173
640.72,-7.94941771379702e-07,-3.179332091348365e-08,0.6366622228206922,-5.6881950620514826e-18,-2.3617292280698562e-18,-1.7220307352563786e-06,0.9999999999985173
640.74,-7.949417713799547e-07,-3.1793320913516426e-08,0.6392626935698711,-4.544752058499692e-18,1.7302821446137047e-18,-1.7220307353244246e-06,0.9999999999985173
640.76,-7.949417713798644e-07,-3.1793320913382615e-08,0.641855298387733,-1.2772130364902334e-18,-2.1255452992365036e-18,-1.722030735391574e-06,0.9999999999985173
640.78,-7.949417713802062e-07,-3.1793320914177495e-08,0.6444597533881181,-2.376188217856953e-17,6.119899916266366e-18,-1.7220307354605392e-06,0.9999999999985173
640.8,-7.949417713801521e-07,-3.179332091372302e-08,0.6470495649079502,-1.538174239397336e-17,4.834287844972666e-18,-1.7220307355285039e-06,0.9999999999985173
640.82,-7.949417713800544e-07,-3.179332091375066e-08,0.6496659521374964,-2.3080446548296895e-17,3.665019675289466e-18,-1.7220307355967883e-06,0.9999999999985173
640.84,-7.949417713801274e-07,-3.1793320913401706e-08,0.6523217485548095,-2.1870762093140483e-17,6.974994313747086e-18,-1.7220307356657605e-06,0.9999999999985173
640.86,-7.949417713797479e-07,-3.1793320912512116e-08,0.6550245529680929,-7.772683296484047e-18,-8.538782453265009e-19,-1.7220307357327447e-06,0.9999999999985173
640.88,-7.94941771379641e-07,-3.179332091215515e-08,0.6577520266647909,-6.691947413472756e-18,-2.2904268690694465e-18,-1.7220307358016697e-06,0.9999999999985173
640.9,-7.949417713795579e-07,-3.179332091158556e-08,0.6605095386090436,2.5986162869743774e-18,-4.117687859541562e-18,-1.7220307358701025e-06,0.9999999999985173
640.92,-7.949417713798334e-07,-3.179332091141666e-08,0.6632723977890057,3.3527851223694044e-18,3.2758374303173067e-18,-1.7220307359380634e-06,0.9999999999985173
640.94,-7.949417713799593e-07,-3.1793320911401855e-08,0.6660645132337606,2.3319898957094166e-18,6.361989379994721e-18,-1.722030736007513e-06,0.9999999999985173
640.96,-7.94941771379537e-07,-3.1793320911201604e-08,0.6688446740925532,7.538389077551192e-18,-3.8092601304693974e-18,-1.7220307360738385e-06,0.9999999999985173
640.98,-7.949417713797262e-07,-3.1793320911430243e-08,0.6715544592307134,2.176672121821104e-18,2.1765734360557453e-18,-1.7220307361413403e-06,0.9999999999985173
641.0,-7.949417713794573e-07,-3.179332091124324e-08,0.6742341002043922,9.009276995234452e-18,-5.171548102846664e-18,-1.7220307362106913e-06,0.9999999999985173
641.02,-7.94941771379784e-07,-3.1793320911674473e-08,0.6768502395557471,-5.075287161919283e-19,3.777413580372256e-18,-1.7220307362772103e-06,0.9999999999985173
641.04,-7.949417713799475e-07,-3.179332091213002e-08,0.6794980159884929,-1.117031534663029e-17,8.099939413475095e-18,-1.7220307363455453e-06,0.9999999999985173
641.06,-7.949417713799423e-07,-3.179332091212168e-08,0.682153717405877,-1.170369639787591e-17,9.51289584106346e-18,-1.7220307364154488e-06,0.9999999999985173
641.08,-7.949417713799601e-07,-3.1793320912214814e-08,0.6847599202089404,-1.759873138784296e-17,1.3405703592332183e-17,-1.7220307364811275e-06,0.9999999999985173
641.1,-7.949417713799036e-07,-3.179332091221479e-08,0.6874022311738448,-2.3203249907565365e-17,1.6240174243517622e-17,-1.7220307365497488e-06,0.9999999999985173
641.12,-7.949417713797846e-07,-3.1793320911574107e-08,0.6901005167938538,-1.3666308152035176e-17,1.941182249817076e-17,-1.7220307366173584e-06,0.9999999999985173
641.14,-7.9494177137963e-07,-3.1793320910933035e-08,0.6928224313438245,-4.711292244298638e-18,2.3270571396476715e-17,-1.7220307366857383e-06,0.9999999999985173
641.16,-7.949417713790225e-07,-3.1793320910585176e-08,0.6955722756446733,-1.5864168062493544e-18,1.6109701276099503e-17,-1.722030736754778e-06,0.9999999999985173
641.18,-7.949417713786588e-07,-3.179332091040836e-08,0.6983620155344644,-1.1538669755205004e-18,1.6168353616828767e-17,-1.7220307368210086e-06,0.9999999999985173
641.2,-7.949417713780867e-07,-3.1793320910384164e-08,0.7011829689897936,-3.4421893600088745e-18,9.919549746021557e-18,-1.7220307368894493e-06,0.9999999999985173
641.22,-7.949417713774866e-07,-3.179332091035061e-08,0.7040276493774956,-4.839624138510285e-18,1.4521345701683205e-18,-1.722030736958106e-06,0.9999999999985173
641.24,-7.94941771377083e-07,-3.179332091012502e-08,0.7068728786280646,-1.0466611864472568e-18,-3.786870689733931e-18,-1.7220307370244483e-06,0.9999999999985173
641.26,-7.949417713769259e-07,-3.179332091003553e-08,0.7097345130126403,-6.126681912443686e-19,-5.603132438836035e-18,-1.7220307370933784e-06,0.9999999999985173
641.28,-7.949417713768342e-07,-3.179332090996166e-08,0.7126110532334669,2.0882421625541348e-19,-7.788031789198874e-18,-1.7220307371616065e-06,0.9999999999985173
641.3,-7.949417713768975e-07,-3.179332090995229e-08,0.7154738534844366,-4.265248729412311e-19,-7.316652781064098e-18,-1.7220307372289437e-06,0.9999999999985173
641.32,-7.949417713770918e-07,-3.179332090988064e-08,0.7183173445505037,1.059725199186149e-18,-4.834789905402779e-18,-1.722030737299459e-06,0.9999999999985173
641.34,-7.949417713771564e-07,-3.179332090978121e-08,0.7210006786840254,3.783692923424982e-18,-5.6853983897611934e-18,-1.7220307373665465e-06,0.9999999999985173
641.36,-7.949417713772175e-07,-3.1793320909871286e-08,0.723591870490957,1.7523273813509734e-18,-6.8366250233215175e-18,-1.7220307374351854e-06,0.9999999999985173
641.38,-7.949417713772865e-07,-3.1793320909858785e-08,0.7261643302990923,3.0538581893674486e-18,-8.424221558669157e-18,-1.7220307375038152e-06,0.9999999999985173
641.4,-7.949417713774639e-07,-3.179332090975342e-08,0.7286891055204235,7.117754705567437e-18,-6.940933493113999e-18,-1.7220307375701715e-06,0.9999999999985173
641.42,-7.949417713779603e-07,-3.1793320909919825e-08,0.731220145147671,4.400152617708083e-18,2.8039338454240766e-18,-1.722030737639518e-06,0.9999999999985173
641.44,-7.949417713780707e-07,-3.179332091007125e-08,0.7337971864674856,2.683126311338465e-18,3.488839452821244e-18,-1.722030737708029e-06,0.9999999999985173
641.46,-7.949417713780487e-07,-3.1793320910164816e-08,0.7364413990421447,2.123927395441684e-18,2.738816407726951e-18,-1.7220307377737091e-06,0.9999999999985173
641.48,-7.949417713779704e-07,-3.179332091017431e-08,0.7391355616152359,3.5885325099621994e-18,7.285193807056215e-19,-1.7220307378426472e-06,0.9999999999985173
641.5,-7.94941771378182e-07,-3.179332091035664e-08,0.7418429487303307,2.403310079926432e-19,7.301158118536477e-18,-1.7220307379101907e-06,0.9999999999985173
641.52,-7.949417713783985e-07,-3.179332091039926e-08,0.7444339614017301,1.3065492620346427e-19,1.4854110174612164e-17,-1.7220307379779472e-06,0.9999999999985173
641.54,-7.949417713775509e-07,-3.179332091038476e-08,0.7469860154401448,1.3595258621430246e-18,-5.118796476868751e-18,-1.7220307380452448e-06,0.9999999999985173
641.56,-7.94941771377675e-07,-3.179332091046875e-08,0.7494952658144728,-4.521013252848419e-19,1.1423655099372607e-18,-1.7220307381110353e-06,0.9999999999985173
641.58,-7.949417713777817e-07,-3.179332091057721e-08,0.7518986323611416,-3.262121170399198e-18,4.979858148216188e-18,-1.7220307381797403e-06,0.9999999999985173
641.6,-7.949417713773917e-07,-3.179332091036104e-08,0.7543375224933868,2.3122027592724734e-18,-4.167765610636421e-18,-1.7220307382477882e-06,0.9999999999985173
641.62,-7.949417713775618e-07,-3.179332091034746e-08,0.7568599274351999,2.5312620816028276e-18,1.3595505235156233e-18,-1.7220307383138154e-06,0.9999999999985173
641.64,-7.949417713775557e-07,-3.179332091027087e-08,0.7594663915657277,5.163159787875242e-18,1.2162415164933256e-18,-1.7220307383825827e-06,0.9999999999985173
641.66,-7.949417713774748e-07,-3.1793320910300705e-08,0.7621406523175974,5.781402715507217e-18,-4.682278982097434e-19,-1.7220307384488499e-06,0.9999999999985173
641.68,-7.949417713773454e-07,-3.1793320910292486e-08,0.7648513634790111,8.010019938766525e-18,-3.590151205372566e-18,-1.722030738513417e-06,0.9999999999985173
641.7,-7.94941771377317e-07,-3.179332091040958e-08,0.7675403815438977,7.728465972292005e-18,-5.118608657471521e-18,-1.7220307385823122e-06,0.9999999999985173
641.72,-7.94941771377142e-07,-3.179332091062116e-08,0.7702122502707871,5.606924057275157e-18,-1.114046336545353e-17,-1.7220307386482488e-06,0.9999999999985173
641.74,-7.949417713774558e-07,-3.1793320910423737e-08,0.7728116357988356,1.451446804270376e-17,-5.366741175219903e-18,-1.7220307387175556e-06,0.9999999999985173
641.76,-7.949417713775281e-07,-3.179332091084228e-08,0.7754081473997771,7.820053503541558e-18,-6.992059421975338e-18,-1.722030738786607e-06,0.9999999999985173
641.78,-7.949417713776494e-07,-3.1793320911039516e-08,0.778028977043868,7.490940178944095e-18,-6.6874234558933166e-18,-1.7220307388532003e-06,0.9999999999985173
