t,dx,dy
326.46,0.10196860247799222,0.018510700518753254
326.48,-0.0769547155223762,0.19889803940635176
326.5,-0.014337042473542283,-0.30256760379323566
326.52,-0.2549073505032595,0.3360063540293545
326.54,0.136526986054335,-0.09374058401841978
326.56,-0.26462050331838327,1.2390749432151758
326.58,-0.3900080298205779,-0.12309384780013488
326.6,-0.23910234188056023,-0.10875613506564719
326.62,-0.029880620325215546,0.22033241923830715
326.64,-0.04863362608882227,-0.014321069104418882
326.66,-0.04249621819314342,0.1013362361393888
326.68,-0.02673781205069048,-0.05042345714494445
326.7,0.0073018210932502825,0.23159129446786508
326.72,-0.21631240713811906,0.7565673660637877
326.74,-0.025227468485852,0.004328302943498841
326.76,-0.002505648885723133,0.04518153544375991
326.78,0.21680528842570368,0.03513624519898784
326.8,-0.12710267027252087,0.1944224726172763
326.82,-0.10175191650539261,0.0024772154263494883
326.84,0.12035769732742096,-0.022799889141616347
326.86,0.07780999450994486,-0.03740095115799846
326.88,-0.29869854838160137,0.1368585781672529
326.9,0.16707079359928656,0.00012839027934674618
326.92,0.11699996008306712,0.02302949515300412
326.94,0.12566669178114154,0.44116028496413406
326.96,0.11763900324128329,0.08067614248198751
326.98,-0.2748882339954051,-0.1202612942287189
327.0,0.155071536467549,-0.08419154900923331
327.02,0.35155431798693826,0.705706358878686
327.04,-0.21735376300291875,0.008292371128725051
327.06,-0.060258388792981066,0.13200533125835534
327.08,0.035499183279281254,-0.00917879601516347
327.1,0.2289274065401159,0.02794817901864377
327.12,-0.059863655244427605,0.0009229991170549567
327.14,0.1331187233989084,0.06974607350870698
327.16,-0.2261458348039227,-0.21967391296256977
327.18,0.16812989303702963,-0.03195137586561714
327.2,0.07776770767950225,0.09548807721320429
327.22,-0.08673002084935177,-0.08771049956018118
327.24,-0.04315954743317718,0.07409378534270772
327.26,0.20595818028543889,0.13677378930489326
327.28,-0.059697909175092434,0.007671574476368903
327.3,-0.03561482900237678,-0.2684708105331737
327.32,0.14038274913715654,0.3892807337411064
327.34,0.037230478289306035,-0.08421216249223562
327.36,-0.07803065011522392,-0.06274311087348394
327.38,0.26637889048487295,-0.219193551092161
327.4,-0.05684602225509394,0.27236942072198644
327.42,-0.047025844341554546,-0.07331896742639543
327.44,0.031767261386942636,0.119236373590077
327.46,-0.01402413036729655,-0.1899504303307964
327.48,-0.29475854021229253,0.1274500759337549
327.5,0.02099701805536469,-0.06323473736974705
327.52,0.12517670441693696,-0.053957642728377664
327.54,-0.07303119813919778,0.08331513317991579
327.56,-0.1002183064058002,-0.07277164009293813
327.58,0.13770017565202153,-0.010437191594455442
327.6,-0.10597486369245246,-0.1553305601500128
327.62,-0.07899822831795689,0.36339486941498933
327.64,-0.1805152979736917,-0.014583990256376467
327.66,-0.10158267005528643,-0.23012939604576843
327.68,0.12169522324292714,-0.1631025759583693
327.7,0.10783040897691976,0.11982914093632147
327.72,0.09125163862294272,-0.09806321788896355
327.74,0.25901256559690466,-0.07893160445857461
327.76,0.3219726098867959,-0.018112137203885936
327.78,-0.31807642472946895,-0.21663464464646864
327.8,0.0026376145675968132,0.12679607943918825
327.82,-0.026123630904933748,0.014136578906395414
327.84,0.01575997044707833,-0.22426289634881869
327.86,-0.006518814593277966,0.000833941137614147
327.88,-0.08913177797453642,0.03627497022336712
327.9,0.08797595526994684,-0.040049722548239686
327.92,0.09873619348966756,-0.21692692121595059
327.94,-0.25834949088906,0.1926013142137748
327.96,0.10264265435267816,-0.1566773259558829
327.98,0.13207446415344037,-0.020665720120099706
328.0,-0.20556196482313283,-0.11367946684316621
328.02,-0.06890240999285879,0.12376304939389371
328.04,0.2522822957057471,0.06738404893299688
328.06,0.08847400987360743,0.016948090776004676
328.08,0.044629810590095076,0.06397633041338224
328.1,0.06611561444773884,-0.005523778304578286
328.12,-0.17081874581874246,0.08757226413970898
328.14,0.0286610527913993,0.20327356233779525
328.16,-0.21338749489871844,-0.2845009887265135
328.18,0.09213313851298821,-0.0017709304417650173
328.2,0.1114686304580772,0.011365375055746085
328.22,-0.029010130798496903,0.02194778638796535
328.24,-0.1546912072043014,0.15160529133080658
328.26,0.14365368664549294,0.028416122143003264
328.28,0.01218743442520065,-0.18008684984663148
328.3,-0.1078771629942139,-0.17788460364154446
328.32,0.049540701812752275,-0.005736785761072838
328.34,0.2137539615381172,0.06633530504637264
328.36,-0.08144210589510692,-0.06393196796881284
328.38,0.1443295582928492,0.03839989479039829
328.4,0.18496346536286978,-0.31656854718399785
328.42,-0.08752140302728151,-0.15923389142312772
328.44,0.043685780983320655,0.010551170405882715
328.46,0.19727357885937735,0.06667335109673189
328.48,-0.044293721506079464,-0.1403692716366436
328.5,0.010914953033008601,-0.020834119647503258
328.52,-0.09732609908788703,-0.11943388861731563
328.54,0.05429369214281721,0.24133905418122836
328.56,-0.09109643081318097,0.29177583708533916
328.58,0.032874903611340045,0.02560202449900828
328.6,-0.015175376872413437,-0.051339179253488965
328.62,0.04921307003779418,0.24258701893412393
328.64,0.019621491129129254,-0.041852083694422504
328.66,0.045333425225631885,-0.014263615302787969
328.68,0.1386681616448442,-0.05649563207305164
328.7,0.06433382449775138,-0.015996323898718856
328.72,-0.03500793242881173,0.16035828887752146
328.74,0.18391339394188222,0.004954041558093536
328.76,0.03932206435428043,-0.2131026080030054
328.78,0.15840528536934784,0.48767985756356325
328.8,0.06574541575975346,0.14448038972892618
328.82,-0.10597265983000881,-0.03577885484897081
328.84,0.06253567736138521,0.15133226431967728
328.86,-0.019911379535450635,-0.029060662733193965
328.88,-0.020031348634162782,0.004934066809429538
328.9,0.02676741544500061,-0.1766370702362039
328.92,0.03702817002229608,0.5865480644899606
328.94,0.323205532147405,-0.09427637015611623
328.96,0.08132456077228056,-0.16778015083407638
328.98,-0.24202582570499942,0.007971162881489136
329.0,-0.15938172695103958,0.23165542634822955
329.02,0.16311043134583159,0.055570683624381445
329.04,0.050694055064635535,-0.0703555958182136
329.06,-0.10835850889928622,0.11260090787035182
329.08,0.2801804692145069,0.08146585047942878
329.1,-0.05145087778047497,0.029916029906434716
329.12,-0.14341560675444498,0.0032643107260668103
329.14,0.00590898885469926,-0.10428264123543585
329.16,0.07546823673747127,0.2154501116588996
329.18,-0.006679813566712767,0.039977443468057317
329.2,0.004190146353963087,-0.1857763468930287
329.22,-0.18906586853655938,0.30684633066498535
329.24,-0.11409490818404322,0.0818285066974127
329.26,0.08790088622940573,0.006697632289501598
329.28,0.3717736029127252,-0.16675920477349848
329.3,0.05959681432708308,0.13782998762397725
329.32,0.1285430026957215,-0.12580452141459375
329.34,-0.20633850990711977,0.010935272241063387
329.36,-0.004322675856826663,-0.19161528980654907
329.38,0.0008739976067673183,0.23386601447169397
329.4,0.17318161322153003,-0.05796361335445965
329.42,0.09888653697213812,-0.04765541324769629
329.44,-0.04300729699237138,0.23606249854432804
329.46,0.015324045128508601,-0.16820160368169468
329.48,0.08320147525662946,-0.002510919958751856
329.5,0.10381649007796412,0.018077669721371592
329.52,-0.11009778022064864,0.14900068549718526
329.54,0.030636987121070547,0.4457991832921948
329.56,-0.057480468859836265,-0.15839592469484387
329.58,0.02340468782348637,-0.004708835436495917
329.6,0.3961939721002352,0.1654920180210233
329.62,0.048356266881491194,-0.18753958816332528
329.64,-0.06909223576128909,0.1296686454285556
329.66,0.0018099917984883973,0.019451626077870543
329.68,-0.2838539914927125,0.2011096153362999
329.7,-0.06657937847673168,-0.05778880186769442
329.72,-0.08155816225367118,0.029886111381028257
329.74,0.03541531484377458,-0.176003654300537
329.76,0.09916372992798372,0.2298188595186943
329.78,-0.07919240424750029,-0.09784889949648345
329.8,-0.05818598672615849,-0.11615434156488647
329.82,0.3577418761764264,0.27207473326237164
329.84,-0.16780779516270883,0.12911657387986963
329.86,-0.22646144140988156,0.003409039307236128
329.88,-0.16205888418557635,-0.2477619799784634
329.9,0.06720348440039103,0.08770021036874454
329.92,0.08665887899029556,-0.06176071393466742
329.94,0.15775821296281478,-0.2795361138562811
329.96,-0.06671317535796106,-0.35145994558892824
329.98,-0.37204742417998204,0.41551232076304245
330.0,0.010247890203302745,0.05460617601474027
330.02,0.005723993028269092,-0.005244914873252071
330.04,0.44748106698426326,0.32849171275268674
330.06,-0.015328701150977508,-0.600398329086886
330.08,-0.15063767677558104,-0.15945875716715108
330.1,-0.17165168494805982,-0.03779915305000969
330.12,0.34109989685911657,0.10435835218942557
330.14,-0.036487584161889686,-0.05103977445636332
330.16,0.12491437140668893,0.3322996768547135
330.18,0.26855657579960024,0.036457553087185346
330.2,-0.1791385883868486,0.12218596974753382
330.22,-0.340191720727546,-0.1791403788338286
330.24,-0.03695323806307016,-0.1048824993675126
330.26,-0.00022658575327483277,0.1355679806340433
330.28,0.10781688939474421,0.04824117025987107
330.3,0.07576599802317219,-0.305629429536765
330.32,-0.07353325840701075,0.2172865900773857
330.34,0.023063358379310728,0.010387194041307168
330.36,-0.0059338643364554855,0.005464444589936335
330.38,0.02619528339798194,-0.029852764074803417
330.4,-0.06933036110951463,-0.25766784189652725
330.42,0.23157434837055035,0.011986371970809984
330.44,0.06813854604120095,0.029105602446620082
330.46,-0.1259586261928618,-0.3488083672315554
330.48,0.17122529324656455,0.09505262044482876
330.5,0.0024770038112436055,0.006244842757340052
330.52,0.1716579308736641,0.23442158008139202
330.54,-0.19584261130288638,-0.24056606135036418
330.56,-0.06665260138491647,0.09352566264537643
330.58,0.16760127131373892,0.048132965726043864
330.6,-0.19951850070011545,0.12677038564130072
330.62,0.03100446776955934,-0.3706106553077717
330.64,-0.09898463329477636,-0.3003395247129319
330.66,0.002525276303916968,-0.12480108021655667
330.68,0.11061978605601297,0.0061600324644999205
330.7,0.04510573432759912,-0.10934402502821428
330.72,0.015061141009152124,-0.02916309600077227
330.74,0.32178939562565745,-0.07716404462689042
330.76,-0.042281498066778056,0.48601039113000155
330.78,0.437991089021903,-0.19289160235617686
330.8,0.1198182482209198,-0.0871760088116531
330.82,-0.07940960166812516,-0.4239625806701852
330.84,-0.11801338203219558,-0.14395842739668296
330.86,0.19754635970942758,0.2027614734873957
330.88,0.14620118167074025,-0.017619788543413506
330.9,-0.006444553568513811,0.33447503024924785
330.92,-0.17503431443858375,-0.1887749065177715
330.94,-0.052797500644182094,0.08390705882317917
330.96,-0.004929970469405021,0.05981041451514102
330.98,-0.24239082890483132,0.47013279701740984
331.0,0.043582352695267446,-0.11756741041911312
331.02,0.2558733608484296,0.18325637950367835
331.04,0.03642066993070614,0.03868563650092938
331.06,-0.3063496199917495,0.14441261758821256
331.08,-0.011239241534973132,0.02861696208533715
331.1,-0.06069981077349951,0.06776097147702487
331.12,0.10589426812032698,-0.11461082005961032
331.14,0.06028837509114027,0.15330988449966299
331.16,0.10039714316151915,-0.04336101815383131
331.18,0.03063288111543372,0.0673542757290484
331.2,0.11981604266070534,0.17245679873952824
331.22,-0.05110625389089307,-0.20679501485145124
331.24,0.03023343874001938,-0.02474700165782906
331.26,0.26016342034796835,0.036197039373544015
331.28,0.22569364409245907,0.05658053019376652
331.3,-0.08487356221571218,-0.19949094944427515
331.32,-0.03466528153585102,0.18058261411224308
331.34,0.16831163473817412,0.042834989203690554
331.36,-0.43510754580713495,-0.39748204641383467
331.38,0.24566972629060047,0.11174462911894167
331.4,0.27699606886543293,0.12311909539391053
331.42,-0.03476018879841547,0.06862096369129489
331.44,-0.12814209334371895,-0.07713763395268813
331.46,0.3074058210553261,-0.12467186653311302
331.48,-0.13846305819451032,-0.000154582991370944
331.5,-0.25475917075572596,0.3298604375836085
331.52,-0.01727286420485541,-0.111918174101298
331.54,-0.05619558100263333,0.019265440113940713
331.56,-0.10475556208865555,0.015582308452831484
