t,range
733.36,0.8415580987930298
733.38,0.8413372039794922
733.4,0.8416882753372192
733.42,0.8521332144737244
733.44,0.8410004377365112
733.46,0.8421281576156616
733.48,0.831108570098877
733.5,0.8345207571983337
733.52,0.8318904042243958
733.54,0.8208255171775818
733.56,0.8291763663291931
733.58,0.8226955533027649
733.6,0.8174437880516052
733.62,0.8249415159225464
733.64,0.8167486786842346
733.66,0.8129606246948242
733.68,0.8039122223854065
733.7,0.8068758249282837
733.72,0.8094768524169922
733.74,0.7950997948646545
733.76,0.8001710772514343
733.78,0.8101420402526855
733.8,0.7973962426185608
733.82,0.792353630065918
733.84,0.7934722304344177
733.86,0.7892767786979675
733.88,0.7790260910987854
733.9,0.7868252396583557
733.92,0.7759854197502136
733.94,0.7735374569892883
733.96,0.7739218473434448
733.98,0.773353636264801
734.0,0.780616819858551
734.02,0.7670229077339172
734.04,0.7657146453857422
734.06,0.7546448707580566
734.08,0.7635679244995117
734.1,0.7589689493179321
734.12,0.7644327282905579
734.14,0.7525709867477417
734.16,0.7625424861907959
734.18,0.7525700330734253
734.2,0.7481504678726196
734.22,0.7446187138557434
734.24,0.7352476716041565
734.26,0.7325460910797119
734.28,0.7332298755645752
734.3,0.723147451877594
734.32,0.7245367765426636
734.34,0.7221071124076843
734.36,0.7136027216911316
734.38,0.7213886380195618
734.4,0.7202372550964355
734.42,0.7170749306678772
734.44,0.7178813219070435
734.46,0.708685040473938
734.48,0.7075974345207214
734.5,0.7040216326713562
734.52,0.7076516151428223
734.54,0.7025702595710754
734.56,0.6945390105247498
734.58,0.6952069401741028
734.6,0.6996985673904419
734.62,0.6980839371681213
734.64,0.6949582695960999
734.66,0.6828877925872803
734.68,0.6902020573616028
734.7,0.6794771552085876
734.72,0.6748279333114624
734.74,0.6704061031341553
734.76,0.6819120049476624
734.78,0.6703507900238037
734.8,0.673433780670166
734.82,0.6593057513237
734.84,0.6729124188423157
734.86,0.661821722984314
734.88,0.6687868237495422
734.9,0.6617507934570312
734.92,0.6547320485115051
734.94,0.6512229442596436
734.96,0.6607611775398254
734.98,0.6507991552352905
735.0,0.6508280634880066
735.02,0.6363385915756226
735.04,0.6403958797454834
735.06,0.6346505880355835
735.08,0.6349958181381226
735.1,0.6488340497016907
735.12,0.6357637047767639
735.14,0.6380099654197693
735.16,0.6235402822494507
735.18,0.6217716932296753
735.2,0.6272254586219788
735.22,0.6214120984077454
735.24,0.6178190112113953
735.26,0.6154880523681641
735.28,0.6179861426353455
735.3,0.6119926571846008
735.32,0.6124173998832703
735.34,0.600914478302002
735.36,0.595375120639801
735.38,0.604690670967102
735.4,0.6052418351173401
735.42,0.5953051447868347
735.44,0.5975995659828186
735.46,0.5947225093841553
735.48,0.5941576361656189
735.5,0.585533618927002
735.52,0.5826166272163391
735.54,0.5719075202941895
735.56,0.5702900290489197
735.58,0.5808637142181396
735.6,0.5762572884559631
735.62,0.589263379573822
735.64,0.5735552310943604
735.66,0.5583094954490662
735.68,0.562949538230896
735.7,0.5574713945388794
735.72,0.5583493709564209
735.74,0.5578930974006653
735.76,0.5572118759155273
735.78,0.5533173680305481
735.8,0.5518500208854675
735.82,0.558435320854187
735.84,0.5471339225769043
735.86,0.5527000427246094
735.88,0.5430144667625427
735.9,0.5446423292160034
735.92,0.5427703857421875
735.94,0.5399701595306396
735.96,0.5339439511299133
735.98,0.5288524031639099
736.0,0.5284638404846191
736.02,0.5302929282188416
736.04,0.5260747075080872
736.06,0.5151998400688171
736.08,0.5184239745140076
736.1,0.5122984647750854
736.12,0.5169565081596375
736.14,0.5070428252220154
736.16,0.501043975353241
736.18,0.5052905678749084
736.2,0.49541330337524414
736.22,0.4882683753967285
736.24,0.4950045049190521
736.26,0.4934287369251251
736.28,0.4827706813812256
736.3,0.482672780752182
736.32,0.48895174264907837
736.34,0.4760757386684418
736.36,0.47047534584999084
736.38,0.4756263196468353
736.4,0.48016664385795593
736.42,0.4737653136253357
736.44,0.4679649770259857
736.46,0.4611053168773651
736.48,0.4594361186027527
736.5,0.4719562232494354
736.52,0.4616183340549469
736.54,0.4613887667655945
736.56,0.44672176241874695
736.58,0.45105236768722534
736.6,0.4605121314525604
736.62,0.451282262802124
736.64,0.4506458342075348
736.66,0.4463614523410797
736.68,0.4419321119785309
736.7,0.4399130344390869
736.72,0.43523555994033813
736.74,0.427883505821228
736.76,0.4271484911441803
736.78,0.419776052236557
736.8,0.43218398094177246
736.82,0.42134416103363037
736.84,0.4294600784778595
736.86,0.41350018978118896
736.88,0.4177817702293396
736.9,0.41612720489501953
736.92,0.4090496003627777
736.94,0.41535335779190063
736.96,0.41780906915664673
736.98,0.41125747561454773
737.0,0.40545231103897095
737.02,0.40243855118751526
737.04,0.40261659026145935
737.06,0.39884206652641296
737.08,0.39656132459640503
737.1,0.39344626665115356
737.12,0.39108946919441223
737.14,0.39614272117614746
737.16,0.3992575407028198
737.18,0.37934207916259766
737.2,0.37859007716178894
737.22,0.3840673863887787
737.24,0.3742518723011017
737.26,0.3683014512062073
737.28,0.36959320306777954
737.3,0.3731236755847931
737.32,0.36320760846138
737.34,0.3643747568130493
737.36,0.364838182926178
737.38,0.3573550283908844
737.4,0.3540666997432709
737.42,0.3546774089336395
737.44,0.3515630066394806
737.46,0.34525397419929504
737.48,0.3537450432777405
737.5,0.34840014576911926
737.52,0.3424026668071747
737.54,0.3478986322879791
737.56,0.3409388065338135
737.58,0.3378644287586212
