t,x,y,z,qx,qy,qz,qw
586.88,-1.1788114511823077e-06,-2.2774792252822522e-07,0.8760524089226102,1.2636520582680547e-17,4.427993699373474e-18,-2.4756385662352346e-06,0.9999999999969356
586.9,-1.178811451182211e-06,-2.2774792252828083e-07,0.8784128781037533,1.454841530045032e-17,4.797694940525893e-18,-2.4756385664367077e-06,0.9999999999969356
586.92,-1.1788114511824068e-06,-2.2774792252863733e-07,0.8807968336338076,9.883709521463811e-18,1.2700632917492555e-17,-2.4756385666409803e-06,0.9999999999969356
586.94,-1.1788114511820326e-06,-2.2774792252898152e-07,0.8832211318849715,5.899395326694356e-18,6.600380563359974e-18,-2.4756385668428304e-06,0.9999999999969356
586.96,-1.1788114511818997e-06,-2.2774792252921614e-07,0.8856224874747379,4.197866576407761e-18,7.302811364778173e-18,-2.4756385670454203e-06,0.9999999999969356
586.98,-1.1788114511815219e-06,-2.2774792252959376e-07,0.8880422145932889,-2.4433615420328767e-18,5.866727523663299e-19,-2.475638567248539e-06,0.9999999999969356
587.0,-1.1788114511814853e-06,-2.2774792252967476e-07,0.8904330010616954,-2.515690673861507e-18,2.8054284801547075e-18,-2.4756385674495753e-06,0.9999999999969356
587.02,-1.178811451180902e-06,-2.277479225297602e-07,0.8928434093959662,-4.472246813657322e-18,-1.1579473773855587e-17,-2.475638567653391e-06,0.9999999999969356
587.04,-1.1788114511807932e-06,-2.2774792252989745e-07,0.8952375691400575,-8.646664939042943e-18,-1.4741027490466822e-17,-2.4756385678551644e-06,0.9999999999969356
587.06,-1.1788114511812917e-06,-2.2774792252987487e-07,0.8977033529996001,-9.967682142656447e-18,-4.520735101543038e-18,-2.4756385680570487e-06,0.9999999999969356
587.08,-1.1788114511807003e-06,-2.2774792252992358e-07,0.900209272104833,-1.466451751313498e-17,-2.5000313820899122e-17,-2.4756385682589738e-06,0.9999999999969356
587.1,-1.1788114511809239e-06,-2.2774792252960641e-07,0.9026824389780734,-1.0759436662938771e-17,-2.5036508594057288e-17,-2.4756385684602813e-06,0.9999999999969356
587.12,-1.1788114511814175e-06,-2.2774792252943081e-07,0.9052112483400003,-1.1554831258805933e-17,-2.115850392617624e-17,-2.4756385686618087e-06,0.9999999999969356
587.14,-1.1788114511817404e-06,-2.2774792252903078e-07,0.9078158911959177,-6.256944937047043e-18,-2.3075023179074677e-17,-2.4756385688642724e-06,0.9999999999969356
587.16,-1.178811451182543e-06,-2.2774792252867076e-07,0.9104923232358114,-1.48406034904653e-18,-1.2180585554812368e-17,-2.4756385690636436e-06,0.9999999999969356
587.18,-1.1788114511829686e-06,-2.2774792252858336e-07,0.9132009575123323,-2.862214779128307e-18,-1.0817939651650101e-17,-2.4756385692660925e-06,0.9999999999969356
587.2,-1.1788114511833995e-06,-2.2774792252812292e-07,0.9159190009579649,7.322948863351595e-18,-7.33117942543478e-18,-2.475638569468877e-06,0.9999999999969356
587.22,-1.1788114511837966e-06,-2.277479225280119e-07,0.9186089802311905,9.684983669736785e-18,-3.138426984078939e-18,-2.4756385696709044e-06,0.9999999999969356
587.24,-1.178811451184397e-06,-2.2774792252824645e-07,0.9213290667183034,4.991255278573752e-18,8.350863675129433e-18,-2.4756385698754912e-06,0.9999999999969356
587.26,-1.1788114511846015e-06,-2.277479225284276e-07,0.9240661587995475,2.7602866046311535e-18,1.227387039012467e-17,-2.4756385700780316e-06,0.9999999999969356
587.28,-1.1788114511843321e-06,-2.2774792252860313e-07,0.9267670328151443,5.38958559098941e-20,6.765594850820217e-18,-2.475638570279166e-06,0.9999999999969356
587.3,-1.1788114511842053e-06,-2.2774792252842944e-07,0.9294458446499176,6.571363245568957e-18,5.838814917484687e-18,-2.475638570483531e-06,0.9999999999969356
587.32,-1.1788114511841282e-06,-2.277479225287155e-07,0.932052406722627,3.8132327985637205e-19,7.040993866807019e-18,-2.4756385706851235e-06,0.9999999999969356
