t,x,y,z,qx,qy,qz,qw,vx,vy,vz
6.62,1.0157903602041444e-18,7.376032101045705e-19,0.13734615336570868,-2.9546952089161294e-21,-4.0922674874782035e-18,3.624469372336181e-18,1.0,-5.152704470561582e-18,7.375399364426485e-18,0.13770680672401947
6.64,8.701424670868581e-19,8.412406638318076e-19,0.14012944364963092,1.3645118555108602e-18,-2.619860899727823e-18,3.300848709303371e-18,1.0,-7.441825139156942e-18,3.8067008872360116e-18,0.139582374601549
6.66,6.079702746501927e-19,7.691647402550977e-19,0.14290069048900744,-1.3007756461560311e-18,2.477505074734183e-18,2.839000604591245e-18,1.0,-1.0496221102073599e-17,-1.3857715434221342e-18,0.1372505297379617
6.68,6.168142806212336e-19,9.146529192136455e-19,0.14560256728910453,2.209733524398262e-18,1.220447798417181e-18,2.9307059000473885e-18,1.0,-8.988966336427637e-19,6.019792860260431e-18,0.13496950124432527
6.7,5.502462819781809e-19,8.359902327766662e-19,0.1483234301784845,3.879074319726675e-21,2.8596159295303066e-18,3.225554202215869e-18,1.0,2.9799091593891365e-19,-4.1063600615664755e-18,0.13652051854283198
6.72,5.767046555548033e-19,8.018237798145695e-19,0.15108255390963843,-8.032628244834619e-19,2.6679017874789782e-18,3.377757374196137e-18,1.0,7.585046154946096e-19,-1.7599644829728405e-18,0.1383184139210264
6.74,6.166616380465566e-19,7.762660827712491e-19,0.15386433438780436,-1.5739487875549296e-18,2.5131119662540085e-18,3.4121080580574964e-18,1.0,1.4171816029720447e-18,-1.5493294605973203e-18,0.13937727323168336
6.76,6.639158798568986e-19,7.615668172478281e-19,0.15664456976866423,-2.342017530634884e-18,2.357699115933882e-18,3.4262684216319388e-18,1.0,1.7559786914596176e-18,-1.1870599754699146e-18,0.13906070684287786
6.78,7.141644241856308e-19,7.627698140278717e-19,0.15939729514803624,-3.01996215062483e-18,2.198660940966094e-18,3.4268501807605242e-18,1.0,1.9234682021630297e-18,-4.0848027498106e-19,0.13624402445402695
6.8,7.647731350875704e-19,7.819055194915617e-19,0.1620783987853561,-3.564100777244826e-18,2.0338969987889956e-18,3.424940807349711e-18,1.0,1.9680200343257393e-18,1.9850396140705152e-19,0.1339448323971565
6.82,8.142226765279836e-19,8.138383776547325e-19,0.16478072526563567,-4.105538984090255e-18,1.8689415962675874e-18,3.425043906263229e-18,1.0,1.9348028388356824e-18,6.722742611941966e-19,0.1356304253020607
6.84,8.616805632448648e-19,8.580521752980663e-19,0.16752788287360285,-4.644433669885445e-18,1.704254197174823e-18,3.424976047967746e-18,1.0,1.8638778875220282e-18,1.113725798456457e-18,0.13793622194067934
6.86,9.06658957102823e-19,9.139782152481404e-19,0.17029021286004847,-5.181518684402357e-18,1.5381734729540464e-18,3.4446637183239997e-18,1.0,1.7819879472243595e-18,1.5445305705525492e-18,0.13734952238023124
6.88,9.48619435200212e-19,9.80823906677022e-19,0.17299178055098752,-5.716026838606844e-18,1.3728969035644596e-18,3.460085406270415e-18,1.0,1.6784811297491637e-18,1.970921480488516e-18,0.13490022520609435
6.9,1.0478856596951121e-18,1.3464310200743125e-18,0.17567896362291122,1.809424866480971e-18,-4.774847535792845e-19,2.8963295181596243e-18,1.0,7.30008091375876e-18,2.3037693923118644e-17,0.1343197311068467
6.92,1.1333899053685945e-18,1.7000824573067394e-18,0.178349331894865,9.963941403384811e-18,-2.28302665112165e-18,2.9902215783280527e-18,1.0,-1.0025312892705628e-18,1.2468419053318806e-17,0.13243701282487363
6.94,1.323216405642922e-18,1.467320501582738e-18,0.18095864697696304,4.3798959312136076e-18,-7.798385659866419e-18,3.9452630576896296e-18,1.0,1.4579854688285674e-17,-1.545596041549262e-17,0.13008384642646253
6.96,1.061688742294772e-18,1.51535640659914e-18,0.1835541298534708,7.729650520614073e-18,-1.979932355802912e-18,3.693915712751696e-18,1.0,-2.053036942916441e-17,1.1586186987230623e-17,0.13009776673272577
6.98,1.0406518288259886e-18,1.2788078521939416e-18,0.18616336941495398,3.6657393303920185e-18,-3.3083091740341547e-18,3.1674517959255498e-18,1.0,6.6670446301916885e-18,-1.8038501425351162e-17,0.12987258221149045
7.0,1.1463602640280553e-18,8.911927936867768e-19,0.18875453897160918,-4.4161336097033745e-18,-7.908169490020171e-18,4.161739469802853e-18,1.0,3.445484029297015e-18,-1.6063495484678247e-17,0.12989757820971448
7.02,6.547421984230428e-19,1.1373789647414259e-18,0.1913451004803171,3.490927724987105e-18,3.2662028198982984e-18,4.423200161988723e-18,1.0,-2.743840812287813e-17,1.5871791970629476e-17,0.12849398794721467
7.04,9.348518959928434e-19,6.459401044299824e-19,0.19386537879916502,-9.412795043372948e-18,-6.092875626393571e-18,5.588890071114601e-18,1.0,3.048116085460454e-17,-4.1192083594689266e-17,0.12503297892303145
7.06,1.2329200020395865e-18,6.919873115454798e-19,0.19634217591369324,-8.673791279677977e-18,-1.5772552801464025e-17,7.51702217156633e-18,1.0,8.447199469944136e-18,2.779252380364849e-17,0.12410895235104025
7.08,6.078114822121184e-19,1.4849206761673851e-18,0.19882417220273282,1.0517530126020108e-17,-2.326782886282222e-18,6.212906976841519e-18,1.0,-3.987492283337504e-17,2.953387852440689e-17,0.12322552390288677
7.1,2.585313614674526e-19,1.3465914124377678e-18,0.2012770083670028,6.373733186949929e-18,3.511786755273665e-18,5.622660770139842e-18,1.0,-4.950845362509547e-18,-1.2163292271653116e-17,0.12305966560294812
7.12,5.212907767542066e-19,1.3925409766997416e-18,0.2037432271294309,9.344596606013511e-18,-5.379944827874992e-18,6.593493796958569e-18,1.0,1.4955126870946805e-17,1.404513333705894e-17,0.12250797669756952
7.14,2.144551869971901e-19,1.326644624656839e-18,0.20613104102268204,1.0150461332443418e-17,1.6528733933746751e-18,6.341868686470803e-18,1.0,-2.3439815218513116e-17,-7.67812960326308e-18,0.11785476918732274
7.16,1.6381757835079705e-19,1.2066403660112839e-18,0.20846693605887387,1.0715182815836096e-17,1.890214954482277e-18,5.7733004750836185e-18,1.0,2.396336949400705e-18,-4.984590284010247e-19,0.11723460660107432
7.18,3.199728818190465e-19,1.0243844173257318e-18,0.21082481304379255,1.0227849023797751e-17,-2.6201995649764417e-18,5.949791851140395e-18,1.0,7.448255829745914e-18,-1.1553471781931671e-17,0.11720984237685306
7.2,3.298563759992999e-19,6.253709973899559e-19,0.21316228346201851,4.203410261274462e-18,-3.307573193040568e-18,5.7733589216683874e-18,1.0,7.343155339907379e-19,-1.8886575702422258e-17,0.11744141421844434
7.22,3.1220322614971393e-19,5.661905635727609e-19,0.21556176592434903,6.851266229339521e-18,-3.771832995423464e-18,5.603054726752989e-18,1.0,1.985439089910789e-19,9.322579684455303e-18,0.12089882508824756
7.24,1.966430912106235e-19,4.873598546076463e-19,0.2180409941666167,8.328573128277787e-18,-1.9437997586618192e-18,5.235704726510851e-18,1.0,-8.537592072745977e-18,-8.241167289809258e-18,0.12496312986743086
7.26,4.9356019870525707e-20,3.5598463248888857e-19,0.2206019293076525,8.793361971215052e-18,6.688617979645807e-19,5.1756869877218256e-18,1.0,-1.2540889023947985e-17,1.491909580185742e-18,0.12903163502789583
7.28,-1.3365796809932213e-19,2.750660954302433e-19,0.22323201435816156,1.083953672937846e-17,4.789570497994858e-18,4.374631386960029e-18,1.0,-6.304227759179262e-18,-5.114343646662646e-18,0.13233122873133052
7.3,-1.7220579049631694e-20,-8.372706399396903e-20,0.22587988853162164,5.823697401310844e-18,1.9043773920151405e-18,3.9616922994914744e-18,1.0,8.2187795487673e-18,-1.8804962664582132e-17,0.13142224732185792
7.32,9.074883801942645e-20,-3.981261795165507e-19,0.22848238416294375,1.6761363219479132e-18,-2.2691522349241765e-19,4.4939749225467035e-18,1.0,1.6927299906279833e-18,-1.0865812827568516e-17,0.13026106660312398
7.34,-1.1506621170593378e-19,-3.5734383287651514e-19,0.23112240627833777,6.098338913440733e-18,6.0546236641642095e-18,4.340442129041761e-18,1.0,-1.0566831385534191e-17,2.912881977012126e-18,0.13268410047242718
7.36,-3.525854386127953e-20,-5.660693090647051e-19,0.233769347010461,3.334645024991657e-18,5.160371841142779e-18,5.417676866536632e-18,1.0,5.823158903173588e-18,-1.2300241181345513e-17,0.13114955311671894
7.38,8.428528811484049e-20,-7.862044666317965e-19,0.23631964358478355,-1.690221233690099e-20,3.898511067996033e-18,5.478079385973065e-18,1.0,1.910584355323951e-18,-7.477020636234702e-18,0.12703994025766163
7.4,4.94403939514442e-20,-6.895865879539392e-19,0.2388176135038703,4.460795550494301e-18,6.997558374446752e-18,4.309651970667165e-18,1.0,-1.1888081744441325e-19,6.7856653712771156e-18,0.12462628808140863
7.42,5.298728155080105e-19,-9.491643358023585e-19,0.24134495861615682,-1.0415785476733257e-18,-3.743343319209138e-18,4.940147086541889e-18,1.0,2.3319235640638192e-17,-1.7063107962045547e-17,0.1271608140753555
7.44,6.170042222247838e-19,-9.704669577635387e-19,0.24391394455967577,-4.2542195861227227e-19,-4.836547502976432e-18,4.896916635996803e-18,1.0,-3.231093138916236e-18,7.211643417862498e-18,0.12810857721561875
